Date,,ACTC3  Telegraph at 66th St Oakland
07/08/2012,00:00,24
07/08/2012,01:00,17
07/08/2012,02:00,17
07/08/2012,03:00,15
07/08/2012,04:00,7
07/08/2012,05:00,10
07/08/2012,06:00,3
07/08/2012,07:00,2
07/08/2012,08:00,0
07/08/2012,09:00,1
07/08/2012,10:00,9
07/08/2012,11:00,8
07/08/2012,12:00,17
07/08/2012,13:00,11
07/08/2012,14:00,12
07/08/2012,15:00,25
07/08/2012,16:00,22
07/08/2012,17:00,19
07/08/2012,18:00,25
07/08/2012,19:00,19
07/08/2012,20:00,32
07/08/2012,21:00,37
07/08/2012,22:00,43
07/08/2012,23:00,37
08/08/2012,00:00,34
08/08/2012,01:00,26
08/08/2012,02:00,17
08/08/2012,03:00,10
08/08/2012,04:00,4
08/08/2012,05:00,2
08/08/2012,06:00,3
08/08/2012,07:00,0
08/08/2012,08:00,0
08/08/2012,09:00,1
08/08/2012,10:00,8
08/08/2012,11:00,4
08/08/2012,12:00,17
08/08/2012,13:00,18
08/08/2012,14:00,14
08/08/2012,15:00,19
08/08/2012,16:00,20
08/08/2012,17:00,15
08/08/2012,18:00,16
08/08/2012,19:00,21
08/08/2012,20:00,24
08/08/2012,21:00,48
08/08/2012,22:00,45
08/08/2012,23:00,37
09/08/2012,00:00,36
09/08/2012,01:00,21
09/08/2012,02:00,24
09/08/2012,03:00,16
09/08/2012,04:00,6
09/08/2012,05:00,2
09/08/2012,06:00,0
09/08/2012,07:00,3
09/08/2012,08:00,0
09/08/2012,09:00,0
09/08/2012,10:00,6
09/08/2012,11:00,4
09/08/2012,12:00,10
09/08/2012,13:00,21
09/08/2012,14:00,9
09/08/2012,15:00,18
09/08/2012,16:00,17
09/08/2012,17:00,21
09/08/2012,18:00,20
09/08/2012,19:00,22
09/08/2012,20:00,28
09/08/2012,21:00,44
09/08/2012,22:00,60
09/08/2012,23:00,33
10/08/2012,00:00,43
10/08/2012,01:00,17
10/08/2012,02:00,22
10/08/2012,03:00,20
10/08/2012,04:00,7
10/08/2012,05:00,4
10/08/2012,06:00,1
10/08/2012,07:00,0
10/08/2012,08:00,2
10/08/2012,09:00,1
10/08/2012,10:00,6
10/08/2012,11:00,3
10/08/2012,12:00,23
10/08/2012,13:00,12
10/08/2012,14:00,7
10/08/2012,15:00,12
10/08/2012,16:00,10
10/08/2012,17:00,26
10/08/2012,18:00,16
10/08/2012,19:00,27
10/08/2012,20:00,18
10/08/2012,21:00,39
10/08/2012,22:00,40
10/08/2012,23:00,40
11/08/2012,00:00,35
11/08/2012,01:00,22
11/08/2012,02:00,19
11/08/2012,03:00,8
11/08/2012,04:00,12
11/08/2012,05:00,3
11/08/2012,06:00,3
11/08/2012,07:00,2
11/08/2012,08:00,2
11/08/2012,09:00,0
11/08/2012,10:00,3
11/08/2012,11:00,2
11/08/2012,12:00,3
11/08/2012,13:00,9
11/08/2012,14:00,10
11/08/2012,15:00,13
11/08/2012,16:00,15
11/08/2012,17:00,18
11/08/2012,18:00,16
11/08/2012,19:00,18
11/08/2012,20:00,25
11/08/2012,21:00,18
11/08/2012,22:00,28
11/08/2012,23:00,23
12/08/2012,00:00,23
12/08/2012,01:00,16
12/08/2012,02:00,19
12/08/2012,03:00,11
12/08/2012,04:00,9
12/08/2012,05:00,3
12/08/2012,06:00,5
12/08/2012,07:00,3
12/08/2012,08:00,0
12/08/2012,09:00,3
12/08/2012,10:00,2
12/08/2012,11:00,1
12/08/2012,12:00,8
12/08/2012,13:00,8
12/08/2012,14:00,8
12/08/2012,15:00,16
12/08/2012,16:00,17
12/08/2012,17:00,19
12/08/2012,18:00,22
12/08/2012,19:00,27
12/08/2012,20:00,18
12/08/2012,21:00,24
12/08/2012,22:00,26
12/08/2012,23:00,23
13/08/2012,00:00,19
13/08/2012,01:00,10
13/08/2012,02:00,21
13/08/2012,03:00,8
13/08/2012,04:00,7
13/08/2012,05:00,3
13/08/2012,06:00,4
13/08/2012,07:00,0
13/08/2012,08:00,0
13/08/2012,09:00,1
13/08/2012,10:00,6
13/08/2012,11:00,8
13/08/2012,12:00,11
13/08/2012,13:00,18
13/08/2012,14:00,8
13/08/2012,15:00,16
13/08/2012,16:00,19
13/08/2012,17:00,12
13/08/2012,18:00,17
13/08/2012,19:00,26
13/08/2012,20:00,34
13/08/2012,21:00,37
13/08/2012,22:00,41
13/08/2012,23:00,40
14/08/2012,00:00,25
14/08/2012,01:00,27
14/08/2012,02:00,8
14/08/2012,03:00,11
14/08/2012,04:00,6
14/08/2012,05:00,4
14/08/2012,06:00,2
14/08/2012,07:00,0
14/08/2012,08:00,0
14/08/2012,09:00,0
14/08/2012,10:00,4
14/08/2012,11:00,4
14/08/2012,12:00,17
14/08/2012,13:00,12
14/08/2012,14:00,8
14/08/2012,15:00,9
14/08/2012,16:00,23
14/08/2012,17:00,16
14/08/2012,18:00,27
14/08/2012,19:00,23
14/08/2012,20:00,25
14/08/2012,21:00,38
14/08/2012,22:00,45
14/08/2012,23:00,48
15/08/2012,00:00,21
15/08/2012,01:00,28
15/08/2012,02:00,12
15/08/2012,03:00,10
15/08/2012,04:00,4
15/08/2012,05:00,8
15/08/2012,06:00,1
15/08/2012,07:00,2
15/08/2012,08:00,1
15/08/2012,09:00,1
15/08/2012,10:00,5
15/08/2012,11:00,2
15/08/2012,12:00,14
15/08/2012,13:00,19
15/08/2012,14:00,3
15/08/2012,15:00,8
15/08/2012,16:00,23
15/08/2012,17:00,20
15/08/2012,18:00,16
15/08/2012,19:00,16
15/08/2012,20:00,29
15/08/2012,21:00,43
15/08/2012,22:00,46
15/08/2012,23:00,42
16/08/2012,00:00,31
16/08/2012,01:00,23
16/08/2012,02:00,22
16/08/2012,03:00,19
16/08/2012,04:00,9
16/08/2012,05:00,4
16/08/2012,06:00,1
16/08/2012,07:00,3
16/08/2012,08:00,0
16/08/2012,09:00,0
16/08/2012,10:00,5
16/08/2012,11:00,5
16/08/2012,12:00,13
16/08/2012,13:00,13
16/08/2012,14:00,14
16/08/2012,15:00,14
16/08/2012,16:00,18
16/08/2012,17:00,29
16/08/2012,18:00,15
16/08/2012,19:00,28
16/08/2012,20:00,25
16/08/2012,21:00,50
16/08/2012,22:00,34
16/08/2012,23:00,34
17/08/2012,00:00,31
17/08/2012,01:00,18
17/08/2012,02:00,17
17/08/2012,03:00,22
17/08/2012,04:00,7
17/08/2012,05:00,5
17/08/2012,06:00,2
17/08/2012,07:00,2
17/08/2012,08:00,0
17/08/2012,09:00,0
17/08/2012,10:00,3
17/08/2012,11:00,6
17/08/2012,12:00,18
17/08/2012,13:00,8
17/08/2012,14:00,15
17/08/2012,15:00,12
17/08/2012,16:00,19
17/08/2012,17:00,19
17/08/2012,18:00,19
17/08/2012,19:00,22
17/08/2012,20:00,22
17/08/2012,21:00,41
17/08/2012,22:00,38
17/08/2012,23:00,27
18/08/2012,00:00,31
18/08/2012,01:00,14
18/08/2012,02:00,21
18/08/2012,03:00,17
18/08/2012,04:00,8
18/08/2012,05:00,2
18/08/2012,06:00,1
18/08/2012,07:00,5
18/08/2012,08:00,1
18/08/2012,09:00,0
18/08/2012,10:00,3
18/08/2012,11:00,3
18/08/2012,12:00,4
18/08/2012,13:00,3
18/08/2012,14:00,12
18/08/2012,15:00,12
18/08/2012,16:00,23
18/08/2012,17:00,31
18/08/2012,18:00,19
18/08/2012,19:00,26
18/08/2012,20:00,25
18/08/2012,21:00,25
18/08/2012,22:00,22
18/08/2012,23:00,31
19/08/2012,00:00,11
19/08/2012,01:00,21
19/08/2012,02:00,12
19/08/2012,03:00,14
19/08/2012,04:00,12
19/08/2012,05:00,9
19/08/2012,06:00,4
19/08/2012,07:00,1
19/08/2012,08:00,3
19/08/2012,09:00,0
19/08/2012,10:00,1
19/08/2012,11:00,4
19/08/2012,12:00,8
19/08/2012,13:00,12
19/08/2012,14:00,11
19/08/2012,15:00,11
19/08/2012,16:00,20
19/08/2012,17:00,12
19/08/2012,18:00,21
19/08/2012,19:00,22
19/08/2012,20:00,24
19/08/2012,21:00,32
19/08/2012,22:00,26
19/08/2012,23:00,16
20/08/2012,00:00,22
20/08/2012,01:00,14
20/08/2012,02:00,15
20/08/2012,03:00,16
20/08/2012,04:00,10
20/08/2012,05:00,4
20/08/2012,06:00,0
20/08/2012,07:00,1
20/08/2012,08:00,0
20/08/2012,09:00,0
20/08/2012,10:00,8
20/08/2012,11:00,9
20/08/2012,12:00,17
20/08/2012,13:00,17
20/08/2012,14:00,9
20/08/2012,15:00,10
20/08/2012,16:00,18
20/08/2012,17:00,17
20/08/2012,18:00,26
20/08/2012,19:00,12
20/08/2012,20:00,32
20/08/2012,21:00,46
20/08/2012,22:00,54
20/08/2012,23:00,31
21/08/2012,00:00,22
21/08/2012,01:00,16
21/08/2012,02:00,15
21/08/2012,03:00,13
21/08/2012,04:00,7
21/08/2012,05:00,5
21/08/2012,06:00,1
21/08/2012,07:00,1
21/08/2012,08:00,0
21/08/2012,09:00,1
21/08/2012,10:00,8
21/08/2012,11:00,6
21/08/2012,12:00,17
21/08/2012,13:00,18
21/08/2012,14:00,15
21/08/2012,15:00,9
21/08/2012,16:00,20
21/08/2012,17:00,21
21/08/2012,18:00,21
21/08/2012,19:00,25
21/08/2012,20:00,31
21/08/2012,21:00,56
21/08/2012,22:00,49
21/08/2012,23:00,41
22/08/2012,00:00,35
22/08/2012,01:00,24
22/08/2012,02:00,18
22/08/2012,03:00,12
22/08/2012,04:00,6
22/08/2012,05:00,10
22/08/2012,06:00,2
22/08/2012,07:00,0
22/08/2012,08:00,0
22/08/2012,09:00,1
22/08/2012,10:00,3
22/08/2012,11:00,8
22/08/2012,12:00,20
22/08/2012,13:00,19
22/08/2012,14:00,14
22/08/2012,15:00,12
22/08/2012,16:00,15
22/08/2012,17:00,13
22/08/2012,18:00,18
22/08/2012,19:00,27
22/08/2012,20:00,40
22/08/2012,21:00,53
22/08/2012,22:00,57
22/08/2012,23:00,33
23/08/2012,00:00,31
23/08/2012,01:00,17
