Date,,10nb.argu,10sb.argu
19/08/2012,00:00,0,0
19/08/2012,00:15,0,0
19/08/2012,00:30,0,0
19/08/2012,00:45,0,0
19/08/2012,01:00,0,0
19/08/2012,01:15,0,0
19/08/2012,01:30,0,0
19/08/2012,01:45,0,0
19/08/2012,02:00,0,0
19/08/2012,02:15,0,0
19/08/2012,02:30,0,0
19/08/2012,02:45,0,0
19/08/2012,03:00,0,0
19/08/2012,03:15,0,0
19/08/2012,03:30,0,0
19/08/2012,03:45,0,0
19/08/2012,04:00,0,0
19/08/2012,04:15,0,0
19/08/2012,04:30,0,0
19/08/2012,04:45,1,0
19/08/2012,05:00,0,0
19/08/2012,05:15,0,0
19/08/2012,05:30,1,0
19/08/2012,05:45,1,0
19/08/2012,06:00,2,0
19/08/2012,06:15,3,0
19/08/2012,06:30,1,0
19/08/2012,06:45,3,0
19/08/2012,07:00,6,0
19/08/2012,07:15,4,2
19/08/2012,07:30,9,1
19/08/2012,07:45,6,1
19/08/2012,08:00,8,1
19/08/2012,08:15,7,0
19/08/2012,08:30,9,2
19/08/2012,08:45,17,1
19/08/2012,09:00,18,7
19/08/2012,09:15,15,4
19/08/2012,09:30,15,8
19/08/2012,09:45,4,3
19/08/2012,10:00,18,2
19/08/2012,10:15,6,4
19/08/2012,10:30,9,6
19/08/2012,10:45,10,7
19/08/2012,11:00,5,3
19/08/2012,11:15,20,3
19/08/2012,11:30,6,7
19/08/2012,11:45,13,5
19/08/2012,12:00,10,9
19/08/2012,12:15,12,4
19/08/2012,12:30,15,4
19/08/2012,12:45,4,9
19/08/2012,13:00,9,9
19/08/2012,13:15,10,6
19/08/2012,13:30,4,13
19/08/2012,13:45,15,7
19/08/2012,14:00,7,11
19/08/2012,14:15,3,9
19/08/2012,14:30,14,18
19/08/2012,14:45,12,7
19/08/2012,15:00,3,8
19/08/2012,15:15,6,3
19/08/2012,15:30,6,8
19/08/2012,15:45,8,8
19/08/2012,16:00,9,0
19/08/2012,16:15,6,9
19/08/2012,16:30,3,8
19/08/2012,16:45,6,6
19/08/2012,17:00,4,14
19/08/2012,17:15,3,4
19/08/2012,17:30,1,2
19/08/2012,17:45,0,8
19/08/2012,18:00,1,6
19/08/2012,18:15,6,3
19/08/2012,18:30,2,4
19/08/2012,18:45,2,3
19/08/2012,19:00,2,1
19/08/2012,19:15,0,0
19/08/2012,19:30,0,1
19/08/2012,19:45,1,2
19/08/2012,20:00,0,0
19/08/2012,20:15,0,2
19/08/2012,20:30,0,2
19/08/2012,20:45,0,0
19/08/2012,21:00,0,1
19/08/2012,21:15,0,0
19/08/2012,21:30,0,0
19/08/2012,21:45,0,0
19/08/2012,22:00,1,0
19/08/2012,22:15,0,0
19/08/2012,22:30,0,1
19/08/2012,22:45,0,0
19/08/2012,23:00,0,0
19/08/2012,23:15,1,0
19/08/2012,23:30,0,0
19/08/2012,23:45,0,0
20/08/2012,00:00,0,0
20/08/2012,00:15,0,0
20/08/2012,00:30,0,0
20/08/2012,00:45,0,0
20/08/2012,01:00,0,0
20/08/2012,01:15,0,0
20/08/2012,01:30,0,0
20/08/2012,01:45,0,0
20/08/2012,02:00,0,0
20/08/2012,02:15,0,0
20/08/2012,02:30,0,0
20/08/2012,02:45,0,0
20/08/2012,03:00,0,0
20/08/2012,03:15,0,0
20/08/2012,03:30,0,0
20/08/2012,03:45,0,0
20/08/2012,04:00,0,0
20/08/2012,04:15,1,0
20/08/2012,04:30,0,0
20/08/2012,04:45,0,0
20/08/2012,05:00,0,2
20/08/2012,05:15,1,0
20/08/2012,05:30,0,0
20/08/2012,05:45,0,0
20/08/2012,06:00,2,0
20/08/2012,06:15,2,1
20/08/2012,06:30,3,1
20/08/2012,06:45,8,0
20/08/2012,07:00,3,1
20/08/2012,07:15,1,1
20/08/2012,07:30,2,0
20/08/2012,07:45,9,2
20/08/2012,08:00,4,2
20/08/2012,08:15,6,0
20/08/2012,08:30,12,3
20/08/2012,08:45,2,1
20/08/2012,09:00,7,0
20/08/2012,09:15,7,0
20/08/2012,09:30,8,1
20/08/2012,09:45,2,0
20/08/2012,10:00,4,2
20/08/2012,10:15,4,3
20/08/2012,10:30,6,1
20/08/2012,10:45,5,1
20/08/2012,11:00,7,0
20/08/2012,11:15,3,0
20/08/2012,11:30,4,0
20/08/2012,11:45,6,3
20/08/2012,12:00,2,2
20/08/2012,12:15,9,0
20/08/2012,12:30,1,1
20/08/2012,12:45,2,4
20/08/2012,13:00,6,0
20/08/2012,13:15,1,1
20/08/2012,13:30,3,3
20/08/2012,13:45,5,2
20/08/2012,14:00,1,8
20/08/2012,14:15,1,0
20/08/2012,14:30,4,6
20/08/2012,14:45,2,2
20/08/2012,15:00,2,5
20/08/2012,15:15,3,0
20/08/2012,15:30,4,3
20/08/2012,15:45,1,4
20/08/2012,16:00,5,1
20/08/2012,16:15,3,3
20/08/2012,16:30,6,4
20/08/2012,16:45,5,4
20/08/2012,17:00,7,8
20/08/2012,17:15,3,9
20/08/2012,17:30,4,13
20/08/2012,17:45,1,6
20/08/2012,18:00,0,3
20/08/2012,18:15,8,5
20/08/2012,18:30,4,9
20/08/2012,18:45,3,3
20/08/2012,19:00,0,4
20/08/2012,19:15,2,2
20/08/2012,19:30,0,1
20/08/2012,19:45,2,4
20/08/2012,20:00,0,3
20/08/2012,20:15,2,1
20/08/2012,20:30,2,0
20/08/2012,20:45,0,1
20/08/2012,21:00,0,0
20/08/2012,21:15,0,1
20/08/2012,21:30,0,0
20/08/2012,21:45,0,1
20/08/2012,22:00,0,0
20/08/2012,22:15,0,0
20/08/2012,22:30,0,0
20/08/2012,22:45,0,1
20/08/2012,23:00,0,0
20/08/2012,23:15,0,0
20/08/2012,23:30,0,1
20/08/2012,23:45,0,0
21/08/2012,00:00,0,0
