Date,,12.gold,12.gold_IN,12.gold_OUT
19/08/2012,00:00,0,0,0
19/08/2012,00:15,1,0,1
19/08/2012,00:30,0,0,0
19/08/2012,00:45,1,0,1
19/08/2012,01:00,0,0,0
19/08/2012,01:15,0,0,0
19/08/2012,01:30,0,0,0
19/08/2012,01:45,0,0,0
19/08/2012,02:00,0,0,0
19/08/2012,02:15,0,0,0
19/08/2012,02:30,0,0,0
19/08/2012,02:45,0,0,0
19/08/2012,03:00,0,0,0
19/08/2012,03:15,0,0,0
19/08/2012,03:30,0,0,0
19/08/2012,03:45,0,0,0
19/08/2012,04:00,0,0,0
19/08/2012,04:15,0,0,0
19/08/2012,04:30,0,0,0
19/08/2012,04:45,0,0,0
19/08/2012,05:00,0,0,0
19/08/2012,05:15,0,0,0
19/08/2012,05:30,0,0,0
19/08/2012,05:45,0,0,0
19/08/2012,06:00,0,0,0
19/08/2012,06:15,0,0,0
19/08/2012,06:30,0,0,0
19/08/2012,06:45,0,0,0
19/08/2012,07:00,0,0,0
19/08/2012,07:15,0,0,0
19/08/2012,07:30,2,1,1
19/08/2012,07:45,1,1,0
19/08/2012,08:00,0,0,0
19/08/2012,08:15,0,0,0
19/08/2012,08:30,1,1,0
19/08/2012,08:45,0,0,0
19/08/2012,09:00,2,1,1
19/08/2012,09:15,1,1,0
19/08/2012,09:30,1,0,1
19/08/2012,09:45,2,0,2
19/08/2012,10:00,1,1,0
19/08/2012,10:15,3,3,0
19/08/2012,10:30,1,1,0
19/08/2012,10:45,2,2,0
19/08/2012,11:00,2,1,1
19/08/2012,11:15,2,2,0
19/08/2012,11:30,4,1,3
19/08/2012,11:45,3,1,2
19/08/2012,12:00,3,1,2
19/08/2012,12:15,2,1,1
19/08/2012,12:30,0,0,0
19/08/2012,12:45,4,2,2
19/08/2012,13:00,0,0,0
19/08/2012,13:15,1,0,1
19/08/2012,13:30,3,1,2
19/08/2012,13:45,2,1,1
19/08/2012,14:00,2,2,0
19/08/2012,14:15,1,0,1
19/08/2012,14:30,2,1,1
19/08/2012,14:45,1,1,0
19/08/2012,15:00,2,1,1
19/08/2012,15:15,1,0,1
19/08/2012,15:30,2,1,1
19/08/2012,15:45,2,0,2
19/08/2012,16:00,1,1,0
19/08/2012,16:15,1,0,1
19/08/2012,16:30,2,1,1
19/08/2012,16:45,0,0,0
19/08/2012,17:00,0,0,0
19/08/2012,17:15,4,4,0
19/08/2012,17:30,4,1,3
19/08/2012,17:45,1,1,0
19/08/2012,18:00,2,1,1
19/08/2012,18:15,2,2,0
19/08/2012,18:30,2,1,1
19/08/2012,18:45,2,2,0
19/08/2012,19:00,0,0,0
19/08/2012,19:15,0,0,0
19/08/2012,19:30,1,1,0
19/08/2012,19:45,0,0,0
19/08/2012,20:00,2,0,2
19/08/2012,20:15,1,0,1
19/08/2012,20:30,0,0,0
19/08/2012,20:45,1,1,0
19/08/2012,21:00,2,1,1
19/08/2012,21:15,1,1,0
19/08/2012,21:30,0,0,0
19/08/2012,21:45,1,1,0
19/08/2012,22:00,0,0,0
19/08/2012,22:15,0,0,0
19/08/2012,22:30,0,0,0
19/08/2012,22:45,0,0,0
19/08/2012,23:00,0,0,0
19/08/2012,23:15,0,0,0
19/08/2012,23:30,0,0,0
19/08/2012,23:45,0,0,0
20/08/2012,00:00,0,0,0
20/08/2012,00:15,1,0,1
20/08/2012,00:30,0,0,0
20/08/2012,00:45,1,1,0
20/08/2012,01:00,0,0,0
20/08/2012,01:15,0,0,0
20/08/2012,01:30,0,0,0
20/08/2012,01:45,0,0,0
20/08/2012,02:00,0,0,0
20/08/2012,02:15,0,0,0
20/08/2012,02:30,0,0,0
20/08/2012,02:45,0,0,0
20/08/2012,03:00,0,0,0
20/08/2012,03:15,0,0,0
20/08/2012,03:30,0,0,0
20/08/2012,03:45,0,0,0
20/08/2012,04:00,0,0,0
20/08/2012,04:15,0,0,0
20/08/2012,04:30,0,0,0
20/08/2012,04:45,0,0,0
20/08/2012,05:00,0,0,0
20/08/2012,05:15,0,0,0
20/08/2012,05:30,1,1,0
20/08/2012,05:45,1,1,0
20/08/2012,06:00,1,0,1
20/08/2012,06:15,1,1,0
20/08/2012,06:30,4,3,1
20/08/2012,06:45,5,5,0
20/08/2012,07:00,3,1,2
20/08/2012,07:15,3,1,2
20/08/2012,07:30,5,5,0
20/08/2012,07:45,6,5,1
20/08/2012,08:00,8,6,2
20/08/2012,08:15,6,4,2
20/08/2012,08:30,14,10,4
20/08/2012,08:45,9,7,2
20/08/2012,09:00,8,7,1
20/08/2012,09:15,2,2,0
20/08/2012,09:30,3,1,2
20/08/2012,09:45,3,1,2
20/08/2012,10:00,3,3,0
20/08/2012,10:15,2,1,1
20/08/2012,10:30,2,1,1
20/08/2012,10:45,3,1,2
20/08/2012,11:00,2,0,2
20/08/2012,11:15,2,2,0
20/08/2012,11:30,2,2,0
20/08/2012,11:45,0,0,0
20/08/2012,12:00,1,1,0
20/08/2012,12:15,2,1,1
20/08/2012,12:30,1,1,0
20/08/2012,12:45,2,2,0
20/08/2012,13:00,2,2,0
20/08/2012,13:15,0,0,0
20/08/2012,13:30,3,0,3
20/08/2012,13:45,2,2,0
20/08/2012,14:00,2,1,1
20/08/2012,14:15,2,2,0
20/08/2012,14:30,1,1,0
20/08/2012,14:45,1,1,0
20/08/2012,15:00,1,1,0
20/08/2012,15:15,6,2,4
20/08/2012,15:30,1,1,0
20/08/2012,15:45,1,1,0
20/08/2012,16:00,4,2,2
20/08/2012,16:15,4,1,3
20/08/2012,16:30,3,1,2
20/08/2012,16:45,2,2,0
20/08/2012,17:00,2,1,1
20/08/2012,17:15,7,3,4
20/08/2012,17:30,4,2,2
20/08/2012,17:45,5,2,3
20/08/2012,18:00,7,4,3
20/08/2012,18:15,4,2,2
20/08/2012,18:30,3,2,1
20/08/2012,18:45,2,0,2
20/08/2012,19:00,3,1,2
20/08/2012,19:15,3,0,3
20/08/2012,19:30,2,1,1
20/08/2012,19:45,4,2,2
20/08/2012,20:00,3,3,0
20/08/2012,20:15,2,0,2
20/08/2012,20:30,0,0,0
20/08/2012,20:45,2,0,2
20/08/2012,21:00,2,1,1
20/08/2012,21:15,3,0,3
20/08/2012,21:30,2,1,1
20/08/2012,21:45,0,0,0
20/08/2012,22:00,1,0,1
20/08/2012,22:15,1,1,0
20/08/2012,22:30,2,1,1
20/08/2012,22:45,0,0,0
20/08/2012,23:00,0,0,0
20/08/2012,23:15,0,0,0
20/08/2012,23:30,0,0,0
20/08/2012,23:45,0,0,0
21/08/2012,00:00,0,0,0
21/08/2012,00:15,0,0,0
21/08/2012,00:30,0,0,0
21/08/2012,00:45,0,0,0
21/08/2012,01:00,1,1,0
21/08/2012,01:15,0,0,0
21/08/2012,01:30,0,0,0
21/08/2012,01:45,0,0,0
21/08/2012,02:00,0,0,0
21/08/2012,02:15,0,0,0
21/08/2012,02:30,0,0,0
21/08/2012,02:45,0,0,0
21/08/2012,03:00,0,0,0
21/08/2012,03:15,0,0,0
21/08/2012,03:30,0,0,0
21/08/2012,03:45,0,0,0
21/08/2012,04:00,0,0,0
21/08/2012,04:15,0,0,0
21/08/2012,04:30,0,0,0
