Date,,EB Market Totem
01/08/2013,00:00,14
01/08/2013,00:15,5
01/08/2013,00:30,4
01/08/2013,00:45,4
01/08/2013,01:00,1
01/08/2013,01:15,4
01/08/2013,01:30,0
01/08/2013,01:45,8
01/08/2013,02:00,4
01/08/2013,02:15,2
01/08/2013,02:30,0
01/08/2013,02:45,3
01/08/2013,03:00,1
01/08/2013,03:15,2
01/08/2013,03:30,0
01/08/2013,03:45,1
01/08/2013,04:00,4
01/08/2013,04:15,4
01/08/2013,04:30,3
01/08/2013,04:45,5
01/08/2013,05:00,4
01/08/2013,05:15,13
01/08/2013,05:30,8
01/08/2013,05:45,20
01/08/2013,06:00,12
01/08/2013,06:15,21
01/08/2013,06:30,22
01/08/2013,06:45,28
01/08/2013,07:00,45
01/08/2013,07:15,54
01/08/2013,07:30,58
01/08/2013,07:45,110
01/08/2013,08:00,90
01/08/2013,08:15,121
01/08/2013,08:30,151
01/08/2013,08:45,156
01/08/2013,09:00,162
01/08/2013,09:15,111
01/08/2013,09:30,93
01/08/2013,09:45,107
01/08/2013,10:00,61
01/08/2013,10:15,44
01/08/2013,10:30,43
01/08/2013,10:45,46
01/08/2013,11:00,25
01/08/2013,11:15,32
01/08/2013,11:30,27
01/08/2013,11:45,39
01/08/2013,12:00,26
01/08/2013,12:15,26
01/08/2013,12:30,17
01/08/2013,12:45,29
01/08/2013,13:00,32
01/08/2013,13:15,30
01/08/2013,13:30,26
01/08/2013,13:45,23
01/08/2013,14:00,23
01/08/2013,14:15,36
01/08/2013,14:30,28
01/08/2013,14:45,36
01/08/2013,15:00,35
01/08/2013,15:15,43
01/08/2013,15:30,28
01/08/2013,15:45,42
01/08/2013,16:00,22
01/08/2013,16:15,38
01/08/2013,16:30,28
01/08/2013,16:45,41
01/08/2013,17:00,46
01/08/2013,17:15,23
01/08/2013,17:30,34
01/08/2013,17:45,46
01/08/2013,18:00,35
01/08/2013,18:15,35
01/08/2013,18:30,43
01/08/2013,18:45,36
01/08/2013,19:00,27
01/08/2013,19:15,27
01/08/2013,19:30,21
01/08/2013,19:45,21
01/08/2013,20:00,22
01/08/2013,20:15,14
01/08/2013,20:30,21
01/08/2013,20:45,12
01/08/2013,21:00,19
01/08/2013,21:15,7
01/08/2013,21:30,8
01/08/2013,21:45,19
01/08/2013,22:00,12
01/08/2013,22:15,5
01/08/2013,22:30,11
01/08/2013,22:45,12
01/08/2013,23:00,9
01/08/2013,23:15,14
01/08/2013,23:30,8
01/08/2013,23:45,11
02/08/2013,00:00,9
02/08/2013,00:15,8
02/08/2013,00:30,5
02/08/2013,00:45,9
02/08/2013,01:00,3
02/08/2013,01:15,2
02/08/2013,01:30,3
02/08/2013,01:45,3
02/08/2013,02:00,2
02/08/2013,02:15,3
02/08/2013,02:30,2
02/08/2013,02:45,0
02/08/2013,03:00,4
02/08/2013,03:15,1
02/08/2013,03:30,2
02/08/2013,03:45,2
02/08/2013,04:00,5
02/08/2013,04:15,6
02/08/2013,04:30,5
02/08/2013,04:45,2
02/08/2013,05:00,8
02/08/2013,05:15,7
02/08/2013,05:30,6
02/08/2013,05:45,7
02/08/2013,06:00,8
02/08/2013,06:15,10
02/08/2013,06:30,21
