Date,,2eb.mark,2wb.mark
22/04/2012,00:00,5,11
22/04/2012,00:15,5,18
22/04/2012,00:30,5,7
22/04/2012,00:45,3,5
22/04/2012,01:00,2,5
22/04/2012,01:15,1,3
22/04/2012,01:30,6,2
22/04/2012,01:45,1,5
22/04/2012,02:00,4,6
22/04/2012,02:15,2,4
22/04/2012,02:30,2,11
22/04/2012,02:45,2,1
22/04/2012,03:00,2,3
22/04/2012,03:15,2,1
22/04/2012,03:30,1,0
22/04/2012,03:45,2,1
22/04/2012,04:00,0,2
22/04/2012,04:15,1,1
22/04/2012,04:30,2,1
22/04/2012,04:45,3,2
22/04/2012,05:00,1,1
22/04/2012,05:15,0,1
22/04/2012,05:30,5,2
22/04/2012,05:45,1,1
22/04/2012,06:00,5,2
22/04/2012,06:15,4,2
22/04/2012,06:30,9,1
22/04/2012,06:45,5,2
22/04/2012,07:00,4,3
22/04/2012,07:15,8,4
22/04/2012,07:30,7,5
22/04/2012,07:45,4,3
22/04/2012,08:00,8,3
22/04/2012,08:15,11,7
22/04/2012,08:30,20,6
22/04/2012,08:45,13,6
22/04/2012,09:00,14,6
22/04/2012,09:15,19,10
22/04/2012,09:30,20,10
22/04/2012,09:45,16,16
22/04/2012,10:00,20,13
22/04/2012,10:15,24,15
22/04/2012,10:30,25,12
22/04/2012,10:45,16,25
22/04/2012,11:00,23,15
22/04/2012,11:15,17,21
22/04/2012,11:30,19,10
22/04/2012,11:45,33,14
22/04/2012,12:00,24,21
22/04/2012,12:15,34,27
22/04/2012,12:30,22,17
22/04/2012,12:45,19,26
22/04/2012,13:00,19,22
22/04/2012,13:15,22,20
22/04/2012,13:30,16,19
22/04/2012,13:45,16,19
22/04/2012,14:00,13,30
22/04/2012,14:15,29,33
22/04/2012,14:30,39,30
22/04/2012,14:45,26,27
22/04/2012,15:00,23,15
22/04/2012,15:15,26,20
22/04/2012,15:30,22,35
22/04/2012,15:45,29,22
22/04/2012,16:00,26,38
22/04/2012,16:15,20,28
22/04/2012,16:30,21,29
22/04/2012,16:45,9,21
22/04/2012,17:00,18,22
22/04/2012,17:15,18,23
22/04/2012,17:30,17,23
22/04/2012,17:45,16,22
22/04/2012,18:00,15,22
22/04/2012,18:15,19,9
22/04/2012,18:30,8,21
22/04/2012,18:45,10,10
22/04/2012,19:00,13,13
22/04/2012,19:15,12,16
22/04/2012,19:30,14,13
22/04/2012,19:45,4,10
22/04/2012,20:00,7,9
22/04/2012,20:15,6,17
22/04/2012,20:30,4,12
22/04/2012,20:45,6,11
22/04/2012,21:00,6,6
22/04/2012,21:15,10,8
22/04/2012,21:30,3,9
22/04/2012,21:45,4,9
22/04/2012,22:00,6,8
22/04/2012,22:15,5,6
22/04/2012,22:30,7,3
22/04/2012,22:45,11,9
22/04/2012,23:00,2,15
22/04/2012,23:15,5,1
22/04/2012,23:30,5,10
22/04/2012,23:45,3,3
23/04/2012,00:00,5,3
23/04/2012,00:15,2,5
23/04/2012,00:30,1,6
23/04/2012,00:45,3,2
23/04/2012,01:00,2,2
23/04/2012,01:15,1,2
23/04/2012,01:30,3,1
23/04/2012,01:45,0,1
23/04/2012,02:00,2,2
23/04/2012,02:15,0,3
23/04/2012,02:30,0,0
23/04/2012,02:45,0,1
23/04/2012,03:00,1,0
23/04/2012,03:15,0,0
23/04/2012,03:30,0,1
23/04/2012,03:45,4,0
23/04/2012,04:00,1,2
23/04/2012,04:15,3,1
23/04/2012,04:30,2,0
23/04/2012,04:45,1,1
23/04/2012,05:00,3,0
23/04/2012,05:15,4,3
23/04/2012,05:30,8,2
23/04/2012,05:45,7,1
23/04/2012,06:00,12,3
