Date,,5eb.np,5wb.np
20/08/2012,00:00,0,0
20/08/2012,00:15,0,0
20/08/2012,00:30,0,0
20/08/2012,00:45,0,1
20/08/2012,01:00,0,0
20/08/2012,01:15,0,0
20/08/2012,01:30,0,0
20/08/2012,01:45,0,0
20/08/2012,02:00,0,0
20/08/2012,02:15,0,0
20/08/2012,02:30,0,0
20/08/2012,02:45,0,0
20/08/2012,03:00,0,0
20/08/2012,03:15,0,1
20/08/2012,03:30,0,0
20/08/2012,03:45,0,0
20/08/2012,04:00,0,0
20/08/2012,04:15,0,0
20/08/2012,04:30,0,0
20/08/2012,04:45,0,0
20/08/2012,05:00,1,0
20/08/2012,05:15,0,1
20/08/2012,05:30,2,0
20/08/2012,05:45,4,1
20/08/2012,06:00,1,0
20/08/2012,06:15,1,2
20/08/2012,06:30,2,0
20/08/2012,06:45,5,4
20/08/2012,07:00,3,1
20/08/2012,07:15,9,1
20/08/2012,07:30,9,2
20/08/2012,07:45,11,4
20/08/2012,08:00,17,2
20/08/2012,08:15,18,1
20/08/2012,08:30,9,0
20/08/2012,08:45,15,0
20/08/2012,09:00,14,1
20/08/2012,09:15,9,1
20/08/2012,09:30,7,3
20/08/2012,09:45,3,3
20/08/2012,10:00,5,4
20/08/2012,10:15,4,1
20/08/2012,10:30,1,5
20/08/2012,10:45,0,1
20/08/2012,11:00,1,1
20/08/2012,11:15,3,0
20/08/2012,11:30,2,3
20/08/2012,11:45,3,2
20/08/2012,12:00,0,2
20/08/2012,12:15,0,1
20/08/2012,12:30,1,4
20/08/2012,12:45,1,2
20/08/2012,13:00,2,1
20/08/2012,13:15,1,8
20/08/2012,13:30,2,4
20/08/2012,13:45,5,5
20/08/2012,14:00,2,1
20/08/2012,14:15,0,0
20/08/2012,14:30,1,2
20/08/2012,14:45,1,2
20/08/2012,15:00,0,4
20/08/2012,15:15,2,9
20/08/2012,15:30,3,6
20/08/2012,15:45,3,3
20/08/2012,16:00,1,6
20/08/2012,16:15,2,6
20/08/2012,16:30,5,4
20/08/2012,16:45,0,6
20/08/2012,17:00,6,15
20/08/2012,17:15,2,9
20/08/2012,17:30,1,17
20/08/2012,17:45,7,15
20/08/2012,18:00,1,24
20/08/2012,18:15,2,14
20/08/2012,18:30,5,14
20/08/2012,18:45,3,17
20/08/2012,19:00,2,16
20/08/2012,19:15,0,10
20/08/2012,19:30,2,5
20/08/2012,19:45,3,7
20/08/2012,20:00,3,4
20/08/2012,20:15,0,4
20/08/2012,20:30,2,3
20/08/2012,20:45,1,6
20/08/2012,21:00,0,0
20/08/2012,21:15,2,3
20/08/2012,21:30,0,1
20/08/2012,21:45,1,4
20/08/2012,22:00,0,1
20/08/2012,22:15,0,1
20/08/2012,22:30,0,1
20/08/2012,22:45,0,0
20/08/2012,23:00,0,1
20/08/2012,23:15,1,1
20/08/2012,23:30,0,0
