Date,,1pan,1pan_IN,1pan_OUT
19/08/2012,00:00,15,12,3
19/08/2012,00:15,12,12,0
19/08/2012,00:30,11,10,1
19/08/2012,00:45,22,19,3
19/08/2012,01:00,5,4,1
19/08/2012,01:15,12,11,1
19/08/2012,01:30,5,3,2
19/08/2012,01:45,2,2,0
19/08/2012,02:00,10,8,2
19/08/2012,02:15,16,15,1
19/08/2012,02:30,10,10,0
19/08/2012,02:45,7,7,0
19/08/2012,03:00,6,6,0
19/08/2012,03:15,5,1,4
19/08/2012,03:30,2,1,1
19/08/2012,03:45,2,2,0
19/08/2012,04:00,2,2,0
19/08/2012,04:15,0,0,0
19/08/2012,04:30,1,1,0
19/08/2012,04:45,1,1,0
19/08/2012,05:00,1,0,1
19/08/2012,05:15,2,0,2
19/08/2012,05:30,0,0,0
19/08/2012,05:45,3,3,0
19/08/2012,06:00,7,6,1
19/08/2012,06:15,6,5,1
19/08/2012,06:30,7,3,4
19/08/2012,06:45,4,2,2
19/08/2012,07:00,5,1,4
19/08/2012,07:15,17,10,7
19/08/2012,07:30,14,8,6
19/08/2012,07:45,14,7,7
19/08/2012,08:00,13,10,3
19/08/2012,08:15,22,16,6
19/08/2012,08:30,27,20,7
19/08/2012,08:45,31,23,8
19/08/2012,09:00,40,26,14
19/08/2012,09:15,20,13,7
19/08/2012,09:30,46,30,16
19/08/2012,09:45,38,27,11
19/08/2012,10:00,44,25,19
19/08/2012,10:15,39,23,16
19/08/2012,10:30,71,37,34
19/08/2012,10:45,54,27,27
19/08/2012,11:00,53,37,16
19/08/2012,11:15,57,36,21
19/08/2012,11:30,60,40,20
19/08/2012,11:45,80,47,33
19/08/2012,12:00,57,38,19
19/08/2012,12:15,71,44,27
19/08/2012,12:30,103,71,32
19/08/2012,12:45,59,42,17
19/08/2012,13:00,83,47,36
19/08/2012,13:15,90,59,31
19/08/2012,13:30,62,31,31
19/08/2012,13:45,67,38,29
19/08/2012,14:00,73,43,30
19/08/2012,14:15,69,31,38
19/08/2012,14:30,77,42,35
19/08/2012,14:45,73,47,26
19/08/2012,15:00,67,25,42
19/08/2012,15:15,77,33,44
19/08/2012,15:30,65,34,31
19/08/2012,15:45,71,32,39
19/08/2012,16:00,74,36,38
19/08/2012,16:15,67,18,49
19/08/2012,16:30,96,35,61
19/08/2012,16:45,58,25,33
19/08/2012,17:00,62,25,37
19/08/2012,17:15,56,24,32
19/08/2012,17:30,52,30,22
19/08/2012,17:45,69,34,35
19/08/2012,18:00,50,21,29
19/08/2012,18:15,45,20,25
19/08/2012,18:30,55,31,24
19/08/2012,18:45,40,19,21
19/08/2012,19:00,44,21,23
19/08/2012,19:15,45,19,26
19/08/2012,19:30,41,27,14
19/08/2012,19:45,22,12,10
19/08/2012,20:00,31,16,15
19/08/2012,20:15,22,12,10
19/08/2012,20:30,8,6,2
19/08/2012,20:45,13,8,5
19/08/2012,21:00,19,12,7
19/08/2012,21:15,13,10,3
19/08/2012,21:30,16,13,3
19/08/2012,21:45,10,8,2
19/08/2012,22:00,14,10,4
19/08/2012,22:15,15,7,8
19/08/2012,22:30,10,7,3
19/08/2012,22:45,12,6,6
19/08/2012,23:00,11,10,1
19/08/2012,23:15,11,8,3
19/08/2012,23:30,9,7,2
19/08/2012,23:45,4,3,1
20/08/2012,00:00,4,4,0
20/08/2012,00:15,6,6,0
20/08/2012,00:30,2,2,0
20/08/2012,00:45,1,0,1
20/08/2012,01:00,4,2,2
20/08/2012,01:15,0,0,0
20/08/2012,01:30,5,3,2
20/08/2012,01:45,1,1,0
20/08/2012,02:00,3,3,0
20/08/2012,02:15,1,1,0
20/08/2012,02:30,1,0,1
20/08/2012,02:45,0,0,0
20/08/2012,03:00,0,0,0
20/08/2012,03:15,1,1,0
20/08/2012,03:30,0,0,0
20/08/2012,03:45,1,1,0
20/08/2012,04:00,3,3,0
20/08/2012,04:15,1,1,0
20/08/2012,04:30,1,1,0
20/08/2012,04:45,0,0,0
20/08/2012,05:00,2,0,2
20/08/2012,05:15,6,2,4
20/08/2012,05:30,3,2,1
20/08/2012,05:45,6,3,3
20/08/2012,06:00,9,2,7
20/08/2012,06:15,13,6,7
20/08/2012,06:30,21,7,14
20/08/2012,06:45,28,9,19
20/08/2012,07:00,44,16,28
20/08/2012,07:15,43,17,26
20/08/2012,07:30,58,21,37
20/08/2012,07:45,65,20,45
20/08/2012,08:00,64,11,53
20/08/2012,08:15,75,23,52
20/08/2012,08:30,97,23,74
20/08/2012,08:45,64,12,52
20/08/2012,09:00,53,18,35
20/08/2012,09:15,63,21,42
20/08/2012,09:30,53,13,40
20/08/2012,09:45,27,10,17
20/08/2012,10:00,30,17,13
20/08/2012,10:15,35,15,20
20/08/2012,10:30,24,9,15
20/08/2012,10:45,23,10,13
20/08/2012,11:00,21,13,8
20/08/2012,11:15,40,25,15
20/08/2012,11:30,28,16,12
20/08/2012,11:45,28,18,10
20/08/2012,12:00,23,16,7
20/08/2012,12:15,31,21,10
20/08/2012,12:30,30,20,10
20/08/2012,12:45,32,12,20
20/08/2012,13:00,28,18,10
20/08/2012,13:15,27,21,6
20/08/2012,13:30,31,17,14
20/08/2012,13:45,28,16,12
20/08/2012,14:00,38,20,18
20/08/2012,14:15,30,21,9
20/08/2012,14:30,33,19,14
20/08/2012,14:45,45,23,22
20/08/2012,15:00,38,22,16
20/08/2012,15:15,25,10,15
20/08/2012,15:30,39,16,23
20/08/2012,15:45,59,42,17
20/08/2012,16:00,44,30,14
20/08/2012,16:15,57,41,16
20/08/2012,16:30,54,41,13
20/08/2012,16:45,66,42,24
20/08/2012,17:00,79,44,35
20/08/2012,17:15,104,79,25
20/08/2012,17:30,109,79,30
20/08/2012,17:45,112,79,33
20/08/2012,18:00,115,94,21
20/08/2012,18:15,114,87,27
20/08/2012,18:30,98,73,25
20/08/2012,18:45,86,69,17
20/08/2012,19:00,66,56,10
20/08/2012,19:15,58,44,14
20/08/2012,19:30,66,48,18
20/08/2012,19:45,65,55,10
20/08/2012,20:00,40,28,12
20/08/2012,20:15,36,22,14
20/08/2012,20:30,30,25,5
20/08/2012,20:45,26,14,12
20/08/2012,21:00,38,24,14
20/08/2012,21:15,26,19,7
20/08/2012,21:30,13,11,2
20/08/2012,21:45,19,12,7
20/08/2012,22:00,16,11,5
20/08/2012,22:15,14,11,3
20/08/2012,22:30,18,11,7
20/08/2012,22:45,18,14,4
20/08/2012,23:00,10,7,3
20/08/2012,23:15,9,8,1
20/08/2012,23:30,4,3,1
20/08/2012,23:45,14,13,1
21/08/2012,00:00,8,4,4
21/08/2012,00:15,7,6,1
21/08/2012,00:30,2,2,0
21/08/2012,00:45,2,2,0
21/08/2012,01:00,1,1,0
21/08/2012,01:15,7,3,4
21/08/2012,01:30,1,1,0
21/08/2012,01:45,2,1,1
21/08/2012,02:00,0,0,0
21/08/2012,02:15,0,0,0
21/08/2012,02:30,0,0,0
21/08/2012,02:45,1,0,1
21/08/2012,03:00,1,1,0
21/08/2012,03:15,0,0,0
21/08/2012,03:30,1,1,0
21/08/2012,03:45,0,0,0
21/08/2012,04:00,0,0,0
21/08/2012,04:15,0,0,0
21/08/2012,04:30,2,0,2
21/08/2012,04:45,3,1,2
21/08/2012,05:00,6,4,2
21/08/2012,05:15,3,2,1
21/08/2012,05:30,3,1,2
21/08/2012,05:45,5,2,3
21/08/2012,06:00,26,14,12
21/08/2012,06:15,12,6,6
21/08/2012,06:30,27,12,15
21/08/2012,06:45,37,10,27
21/08/2012,07:00,36,16,20
21/08/2012,07:15,53,17,36
21/08/2012,07:30,65,14,51
21/08/2012,07:45,90,23,67
21/08/2012,08:00,91,26,65
21/08/2012,08:15,87,28,59
21/08/2012,08:30,82,34,48
21/08/2012,08:45,93,21,72
21/08/2012,09:00,78,23,55
21/08/2012,09:15,44,10,34
21/08/2012,09:30,62,30,32
21/08/2012,09:45,45,23,22
21/08/2012,10:00,46,15,31
21/08/2012,10:15,32,11,21
21/08/2012,10:30,42,28,14
21/08/2012,10:45,25,9,16
21/08/2012,11:00,22,5,17
21/08/2012,11:15,27,17,10
21/08/2012,11:30,39,20,19
21/08/2012,11:45,25,15,10
21/08/2012,12:00,29,18,11
21/08/2012,12:15,27,17,10
21/08/2012,12:30,31,21,10
21/08/2012,12:45,20,10,10
21/08/2012,13:00,37,21,16
21/08/2012,13:15,35,15,20
21/08/2012,13:30,38,24,14
21/08/2012,13:45,35,14,21
21/08/2012,14:00,41,24,17
21/08/2012,14:15,33,14,19
21/08/2012,14:30,44,23,21
21/08/2012,14:45,36,21,15
21/08/2012,15:00,34,21,13
21/08/2012,15:15,40,30,10
21/08/2012,15:30,33,21,12
21/08/2012,15:45,42,26,16
21/08/2012,16:00,46,28,18
21/08/2012,16:15,61,37,24
21/08/2012,16:30,69,42,27
21/08/2012,16:45,77,53,24
21/08/2012,17:00,89,59,30
21/08/2012,17:15,119,85,34
21/08/2012,17:30,98,72,26
21/08/2012,17:45,104,82,22
21/08/2012,18:00,125,89,36
21/08/2012,18:15,103,90,13
21/08/2012,18:30,127,102,25
21/08/2012,18:45,74,58,16
21/08/2012,19:00,88,56,32
21/08/2012,19:15,83,63,20
21/08/2012,19:30,55,35,20
21/08/2012,19:45,44,29,15
21/08/2012,20:00,62,38,24
21/08/2012,20:15,40,26,14
21/08/2012,20:30,58,36,22
21/08/2012,20:45,36,28,8
21/08/2012,21:00,26,16,10
21/08/2012,21:15,37,28,9
21/08/2012,21:30,27,16,11
21/08/2012,21:45,20,14,6
21/08/2012,22:00,20,18,2
21/08/2012,22:15,19,16,3
21/08/2012,22:30,20,19,1
21/08/2012,22:45,19,15,4
21/08/2012,23:00,12,10,2
21/08/2012,23:15,27,22,5
21/08/2012,23:30,12,11,1
21/08/2012,23:45,7,5,2
22/08/2012,00:00,6,6,0
22/08/2012,00:15,8,5,3
22/08/2012,00:30,3,3,0
22/08/2012,00:45,3,3,0
22/08/2012,01:00,5,5,0
22/08/2012,01:15,2,0,2
22/08/2012,01:30,2,2,0
22/08/2012,01:45,0,0,0
22/08/2012,02:00,0,0,0
22/08/2012,02:15,0,0,0
22/08/2012,02:30,0,0,0
22/08/2012,02:45,3,3,0
22/08/2012,03:00,1,1,0
22/08/2012,03:15,2,1,1
22/08/2012,03:30,0,0,0
22/08/2012,03:45,2,0,2
22/08/2012,04:00,3,2,1
22/08/2012,04:15,0,0,0
22/08/2012,04:30,4,1,3
22/08/2012,04:45,1,0,1
22/08/2012,05:00,2,0,2
22/08/2012,05:15,2,1,1
22/08/2012,05:30,5,1,4
22/08/2012,05:45,9,3,6
22/08/2012,06:00,8,4,4
22/08/2012,06:15,24,16,8
22/08/2012,06:30,27,12,15
22/08/2012,06:45,28,14,14
22/08/2012,07:00,32,12,20
22/08/2012,07:15,61,20,41
22/08/2012,07:30,69,22,47
22/08/2012,07:45,79,21,58
