Date,,6.polk,7eb.grov
13/08/2012,00:00,3,1
13/08/2012,00:15,0,0
13/08/2012,00:30,0,0
13/08/2012,00:45,2,0
13/08/2012,01:00,3,1
13/08/2012,01:15,0,0
13/08/2012,01:30,0,0
13/08/2012,01:45,0,0
13/08/2012,02:00,2,1
13/08/2012,02:15,0,0
13/08/2012,02:30,0,1
13/08/2012,02:45,0,0
13/08/2012,03:00,0,0
13/08/2012,03:15,1,0
13/08/2012,03:30,1,0
13/08/2012,03:45,0,0
13/08/2012,04:00,1,0
13/08/2012,04:15,1,0
13/08/2012,04:30,0,0
13/08/2012,04:45,0,2
13/08/2012,05:00,0,1
13/08/2012,05:15,1,1
13/08/2012,05:30,5,1
13/08/2012,05:45,4,0
13/08/2012,06:00,2,0
13/08/2012,06:15,0,3
13/08/2012,06:30,3,3
13/08/2012,06:45,6,10
13/08/2012,07:00,6,4
13/08/2012,07:15,5,14
13/08/2012,07:30,8,15
13/08/2012,07:45,9,21
13/08/2012,08:00,9,22
13/08/2012,08:15,15,24
13/08/2012,08:30,29,41
13/08/2012,08:45,12,36
13/08/2012,09:00,11,44
13/08/2012,09:15,5,24
13/08/2012,09:30,15,27
13/08/2012,09:45,10,25
13/08/2012,10:00,13,14
13/08/2012,10:15,7,12
13/08/2012,10:30,7,9
13/08/2012,10:45,8,4
13/08/2012,11:00,5,10
13/08/2012,11:15,7,3
13/08/2012,11:30,4,8
13/08/2012,11:45,15,5
13/08/2012,12:00,7,3
13/08/2012,12:15,2,4
13/08/2012,12:30,7,6
13/08/2012,12:45,9,3
13/08/2012,13:00,8,1
13/08/2012,13:15,13,6
13/08/2012,13:30,10,4
13/08/2012,13:45,18,4
13/08/2012,14:00,16,4
13/08/2012,14:15,9,5
13/08/2012,14:30,7,2
13/08/2012,14:45,5,7
13/08/2012,15:00,7,6
13/08/2012,15:15,12,2
13/08/2012,15:30,19,6
13/08/2012,15:45,12,6
13/08/2012,16:00,13,3
13/08/2012,16:15,12,10
13/08/2012,16:30,13,4
13/08/2012,16:45,19,6
13/08/2012,17:00,10,3
13/08/2012,17:15,16,4
13/08/2012,17:30,18,2
13/08/2012,17:45,12,3
13/08/2012,18:00,17,6
13/08/2012,18:15,14,7
13/08/2012,18:30,12,7
13/08/2012,18:45,8,4
13/08/2012,19:00,10,2
13/08/2012,19:15,11,3
13/08/2012,19:30,9,2
13/08/2012,19:45,4,1
13/08/2012,20:00,4,3
13/08/2012,20:15,4,3
13/08/2012,20:30,9,3
13/08/2012,20:45,7,2
13/08/2012,21:00,7,2
13/08/2012,21:15,6,1
13/08/2012,21:30,4,0
13/08/2012,21:45,5,2
13/08/2012,22:00,2,0
13/08/2012,22:15,4,0
13/08/2012,22:30,4,0
13/08/2012,22:45,5,3
13/08/2012,23:00,2,1
13/08/2012,23:15,2,2
13/08/2012,23:30,4,0
13/08/2012,23:45,4,0
14/08/2012,00:00,3,1
14/08/2012,00:15,2,1
14/08/2012,00:30,2,0
14/08/2012,00:45,1,0
14/08/2012,01:00,0,1
14/08/2012,01:15,0,0
14/08/2012,01:30,0,0
14/08/2012,01:45,1,1
14/08/2012,02:00,2,0
14/08/2012,02:15,0,0
14/08/2012,02:30,0,0
14/08/2012,02:45,1,0
14/08/2012,03:00,0,0
14/08/2012,03:15,0,0
14/08/2012,03:30,3,0
14/08/2012,03:45,0,0
14/08/2012,04:00,0,0
14/08/2012,04:15,2,0
14/08/2012,04:30,0,1
14/08/2012,04:45,1,1
14/08/2012,05:00,1,3
14/08/2012,05:15,2,0
14/08/2012,05:30,3,0
14/08/2012,05:45,2,0
14/08/2012,06:00,5,4
14/08/2012,06:15,4,5
14/08/2012,06:30,2,7
14/08/2012,06:45,9,15
14/08/2012,07:00,4,7
14/08/2012,07:15,5,10
14/08/2012,07:30,4,22
14/08/2012,07:45,10,24
14/08/2012,08:00,17,13
14/08/2012,08:15,14,27
14/08/2012,08:30,28,37
14/08/2012,08:45,12,52
14/08/2012,09:00,15,37
14/08/2012,09:15,12,35
14/08/2012,09:30,11,20
14/08/2012,09:45,9,24
14/08/2012,10:00,10,11
14/08/2012,10:15,10,8
14/08/2012,10:30,7,7
14/08/2012,10:45,10,6
14/08/2012,11:00,10,2
14/08/2012,11:15,7,7
14/08/2012,11:30,8,7
14/08/2012,11:45,10,5
14/08/2012,12:00,2,4
14/08/2012,12:15,9,5
14/08/2012,12:30,7,2
14/08/2012,12:45,10,5
14/08/2012,13:00,8,5
14/08/2012,13:15,15,4
14/08/2012,13:30,10,6
14/08/2012,13:45,8,4
14/08/2012,14:00,12,4
14/08/2012,14:15,7,4
14/08/2012,14:30,9,7
14/08/2012,14:45,13,7
14/08/2012,15:00,12,3
14/08/2012,15:15,9,3
14/08/2012,15:30,8,2
14/08/2012,15:45,18,5
14/08/2012,16:00,11,5
14/08/2012,16:15,12,7
14/08/2012,16:30,12,4
14/08/2012,16:45,13,3
14/08/2012,17:00,10,10
14/08/2012,17:15,17,7
14/08/2012,17:30,11,6
14/08/2012,17:45,9,2
14/08/2012,18:00,12,5
14/08/2012,18:15,9,8
14/08/2012,18:30,13,2
14/08/2012,18:45,11,9
14/08/2012,19:00,8,2
14/08/2012,19:15,9,8
14/08/2012,19:30,8,3
14/08/2012,19:45,7,3
14/08/2012,20:00,7,1
14/08/2012,20:15,3,4
14/08/2012,20:30,7,4
14/08/2012,20:45,6,2
14/08/2012,21:00,6,1
14/08/2012,21:15,4,0
14/08/2012,21:30,13,1
14/08/2012,21:45,1,0
14/08/2012,22:00,4,1
14/08/2012,22:15,11,1
14/08/2012,22:30,5,0
14/08/2012,22:45,5,0
14/08/2012,23:00,2,0
14/08/2012,23:15,2,1
14/08/2012,23:30,4,3
14/08/2012,23:45,1,1
15/08/2012,00:00,2,0
15/08/2012,00:15,3,0
15/08/2012,00:30,4,0
15/08/2012,00:45,1,0
15/08/2012,01:00,1,0
15/08/2012,01:15,1,0
15/08/2012,01:30,0,0
