Date,,4nb.potr,4sb.potr
20/08/2012,00:00,0,
20/08/2012,00:15,0,
20/08/2012,00:30,0,
20/08/2012,00:45,0,
20/08/2012,01:00,0,
20/08/2012,01:15,0,
20/08/2012,01:30,0,
20/08/2012,01:45,0,
20/08/2012,02:00,1,
20/08/2012,02:15,0,
20/08/2012,02:30,0,
20/08/2012,02:45,0,
20/08/2012,03:00,1,
20/08/2012,03:15,1,
20/08/2012,03:30,1,
20/08/2012,03:45,0,
20/08/2012,04:00,0,
20/08/2012,04:15,1,
20/08/2012,04:30,0,
20/08/2012,04:45,2,
20/08/2012,05:00,0,
20/08/2012,05:15,0,
20/08/2012,05:30,3,
20/08/2012,05:45,2,
20/08/2012,06:00,4,
20/08/2012,06:15,0,
20/08/2012,06:30,5,
20/08/2012,06:45,3,
20/08/2012,07:00,2,
20/08/2012,07:15,1,
20/08/2012,07:30,2,
20/08/2012,07:45,4,
20/08/2012,08:00,5,
20/08/2012,08:15,4,
20/08/2012,08:30,4,
20/08/2012,08:45,4,
20/08/2012,09:00,6,
20/08/2012,09:15,3,
20/08/2012,09:30,5,
20/08/2012,09:45,3,
20/08/2012,10:00,4,
20/08/2012,10:15,2,
20/08/2012,10:30,5,
20/08/2012,10:45,0,
20/08/2012,11:00,2,
20/08/2012,11:15,2,
20/08/2012,11:30,0,
20/08/2012,11:45,4,
20/08/2012,12:00,2,
20/08/2012,12:15,1,
20/08/2012,12:30,0,
20/08/2012,12:45,1,
20/08/2012,13:00,1,
20/08/2012,13:15,4,
20/08/2012,13:30,2,
20/08/2012,13:45,2,
20/08/2012,14:00,1,
20/08/2012,14:15,2,
20/08/2012,14:30,2,
20/08/2012,14:45,5,
20/08/2012,15:00,2,
20/08/2012,15:15,0,
20/08/2012,15:30,3,
20/08/2012,15:45,3,
20/08/2012,16:00,0,
20/08/2012,16:15,3,
20/08/2012,16:30,5,
20/08/2012,16:45,0,
20/08/2012,17:00,3,
20/08/2012,17:15,3,
20/08/2012,17:30,6,
20/08/2012,17:45,0,
20/08/2012,18:00,2,
20/08/2012,18:15,1,
20/08/2012,18:30,2,
20/08/2012,18:45,1,
20/08/2012,19:00,1,
20/08/2012,19:15,2,
20/08/2012,19:30,2,
20/08/2012,19:45,0,
20/08/2012,20:00,1,
20/08/2012,20:15,3,
20/08/2012,20:30,3,
20/08/2012,20:45,1,
20/08/2012,21:00,1,
20/08/2012,21:15,2,
20/08/2012,21:30,0,
20/08/2012,21:45,1,
20/08/2012,22:00,0,
20/08/2012,22:15,0,
20/08/2012,22:30,2,
20/08/2012,22:45,0,
20/08/2012,23:00,0,
20/08/2012,23:15,0,
20/08/2012,23:30,0,
20/08/2012,23:45,1,
21/08/2012,00:00,0,
21/08/2012,00:15,0,
21/08/2012,00:30,0,
21/08/2012,00:45,0,
21/08/2012,01:00,0,
21/08/2012,01:15,0,
21/08/2012,01:30,0,
21/08/2012,01:45,0,
21/08/2012,02:00,0,
21/08/2012,02:15,0,
21/08/2012,02:30,0,
21/08/2012,02:45,0,
21/08/2012,03:00,2,
21/08/2012,03:15,1,
21/08/2012,03:30,1,
21/08/2012,03:45,0,
21/08/2012,04:00,0,
21/08/2012,04:15,1,
21/08/2012,04:30,1,
21/08/2012,04:45,0,
21/08/2012,05:00,0,
21/08/2012,05:15,2,
21/08/2012,05:30,1,
21/08/2012,05:45,4,
21/08/2012,06:00,3,
21/08/2012,06:15,1,
21/08/2012,06:30,4,
21/08/2012,06:45,3,
21/08/2012,07:00,1,
21/08/2012,07:15,2,
21/08/2012,07:30,0,
21/08/2012,07:45,5,
21/08/2012,08:00,8,
21/08/2012,08:15,6,
21/08/2012,08:30,7,
21/08/2012,08:45,6,
21/08/2012,09:00,3,
21/08/2012,09:15,9,
21/08/2012,09:30,0,
21/08/2012,09:45,8,
21/08/2012,10:00,1,
21/08/2012,10:15,3,
21/08/2012,10:30,1,
21/08/2012,10:45,1,
21/08/2012,11:00,2,
21/08/2012,11:15,2,
21/08/2012,11:30,2,
21/08/2012,11:45,2,
21/08/2012,12:00,1,
21/08/2012,12:15,2,
21/08/2012,12:30,2,
21/08/2012,12:45,0,
21/08/2012,13:00,1,
21/08/2012,13:15,3,
21/08/2012,13:30,4,
21/08/2012,13:45,6,
21/08/2012,14:00,4,
21/08/2012,14:15,2,
21/08/2012,14:30,2,
21/08/2012,14:45,1,
21/08/2012,15:00,1,
21/08/2012,15:15,1,
21/08/2012,15:30,2,
21/08/2012,15:45,4,
21/08/2012,16:00,2,
21/08/2012,16:15,3,
21/08/2012,16:30,1,
21/08/2012,16:45,4,
21/08/2012,17:00,3,
21/08/2012,17:15,5,
21/08/2012,17:30,2,
21/08/2012,17:45,1,
21/08/2012,18:00,3,
21/08/2012,18:15,3,
21/08/2012,18:30,2,
21/08/2012,18:45,4,
21/08/2012,19:00,3,
21/08/2012,19:15,5,
21/08/2012,19:30,3,
21/08/2012,19:45,0,
21/08/2012,20:00,3,
21/08/2012,20:15,0,
21/08/2012,20:30,1,
21/08/2012,20:45,2,
21/08/2012,21:00,2,
21/08/2012,21:15,1,
21/08/2012,21:30,1,
21/08/2012,21:45,4,
21/08/2012,22:00,1,
21/08/2012,22:15,0,
21/08/2012,22:30,0,
21/08/2012,22:45,0,
21/08/2012,23:00,2,
21/08/2012,23:15,0,
21/08/2012,23:30,1,
21/08/2012,23:45,0,
22/08/2012,00:00,1,
22/08/2012,00:15,0,
22/08/2012,00:30,0,
22/08/2012,00:45,0,
22/08/2012,01:00,0,
22/08/2012,01:15,1,
22/08/2012,01:30,1,
22/08/2012,01:45,0,
22/08/2012,02:00,0,
22/08/2012,02:15,0,
22/08/2012,02:30,0,
22/08/2012,02:45,1,
22/08/2012,03:00,0,
22/08/2012,03:15,0,
22/08/2012,03:30,1,
22/08/2012,03:45,1,
22/08/2012,04:00,0,
22/08/2012,04:15,1,
22/08/2012,04:30,0,
22/08/2012,04:45,2,
22/08/2012,05:00,0,
22/08/2012,05:15,0,
22/08/2012,05:30,4,
22/08/2012,05:45,1,
22/08/2012,06:00,1,
22/08/2012,06:15,0,
22/08/2012,06:30,1,
22/08/2012,06:45,1,
22/08/2012,07:00,4,
22/08/2012,07:15,1,
22/08/2012,07:30,1,
22/08/2012,07:45,6,
22/08/2012,08:00,7,
22/08/2012,08:15,3,
22/08/2012,08:30,5,
22/08/2012,08:45,7,
22/08/2012,09:00,3,
22/08/2012,09:15,1,
22/08/2012,09:30,5,
22/08/2012,09:45,5,
22/08/2012,10:00,3,
22/08/2012,10:15,1,
22/08/2012,10:30,5,
22/08/2012,10:45,1,
22/08/2012,11:00,3,
22/08/2012,11:15,2,
22/08/2012,11:30,1,
22/08/2012,11:45,0,
22/08/2012,12:00,2,
22/08/2012,12:15,2,
22/08/2012,12:30,5,
22/08/2012,12:45,0,
22/08/2012,13:00,1,
22/08/2012,13:15,0,
22/08/2012,13:30,1,
22/08/2012,13:45,1,
22/08/2012,14:00,2,
22/08/2012,14:15,2,
22/08/2012,14:30,2,
22/08/2012,14:45,2,
22/08/2012,15:00,4,
22/08/2012,15:15,3,
22/08/2012,15:30,2,
22/08/2012,15:45,3,
22/08/2012,16:00,0,
22/08/2012,16:15,4,
22/08/2012,16:30,2,
22/08/2012,16:45,2,
22/08/2012,17:00,8,
22/08/2012,17:15,2,
22/08/2012,17:30,3,
22/08/2012,17:45,3,
22/08/2012,18:00,2,
22/08/2012,18:15,4,
22/08/2012,18:30,1,
22/08/2012,18:45,2,
22/08/2012,19:00,0,
22/08/2012,19:15,0,
22/08/2012,19:30,2,
22/08/2012,19:45,0,
22/08/2012,20:00,1,
22/08/2012,20:15,1,
22/08/2012,20:30,1,
22/08/2012,20:45,0,
22/08/2012,21:00,1,
22/08/2012,21:15,3,
22/08/2012,21:30,1,
22/08/2012,21:45,1,
22/08/2012,22:00,0,
22/08/2012,22:15,2,
22/08/2012,22:30,1,
22/08/2012,22:45,0,
22/08/2012,23:00,0,
22/08/2012,23:15,0,
22/08/2012,23:30,0,
22/08/2012,23:45,0,
23/08/2012,00:00,2,
23/08/2012,00:15,0,
23/08/2012,00:30,0,
23/08/2012,00:45,0,
23/08/2012,01:00,0,
23/08/2012,01:15,2,
23/08/2012,01:30,0,
23/08/2012,01:45,0,
23/08/2012,02:00,0,
23/08/2012,02:15,0,
23/08/2012,02:30,0,
23/08/2012,02:45,1,
23/08/2012,03:00,0,
23/08/2012,03:15,2,
23/08/2012,03:30,1,
23/08/2012,03:45,0,
23/08/2012,04:00,0,
23/08/2012,04:15,2,
23/08/2012,04:30,0,
23/08/2012,04:45,0,
23/08/2012,05:00,1,
23/08/2012,05:15,0,
23/08/2012,05:30,1,
23/08/2012,05:45,6,
23/08/2012,06:00,3,
23/08/2012,06:15,1,
23/08/2012,06:30,1,
23/08/2012,06:45,4,
23/08/2012,07:00,5,
23/08/2012,07:15,3,
23/08/2012,07:30,0,
23/08/2012,07:45,3,
23/08/2012,08:00,3,
23/08/2012,08:15,6,
23/08/2012,08:30,2,
23/08/2012,08:45,8,
23/08/2012,09:00,3,
23/08/2012,09:15,4,
23/08/2012,09:30,5,
23/08/2012,09:45,1,
23/08/2012,10:00,0,
23/08/2012,10:15,1,
23/08/2012,10:30,3,
23/08/2012,10:45,1,
23/08/2012,11:00,1,
23/08/2012,11:15,1,
23/08/2012,11:30,2,
23/08/2012,11:45,3,
23/08/2012,12:00,0,
23/08/2012,12:15,1,
23/08/2012,12:30,1,
23/08/2012,12:45,3,
23/08/2012,13:00,3,
23/08/2012,13:15,4,
23/08/2012,13:30,4,
23/08/2012,13:45,2,
23/08/2012,14:00,0,
23/08/2012,14:15,1,
23/08/2012,14:30,5,
23/08/2012,14:45,4,
23/08/2012,15:00,0,
23/08/2012,15:15,3,
23/08/2012,15:30,3,
23/08/2012,15:45,4,
23/08/2012,16:00,3,
23/08/2012,16:15,5,
23/08/2012,16:30,3,
23/08/2012,16:45,4,
23/08/2012,17:00,5,
23/08/2012,17:15,1,
23/08/2012,17:30,2,
23/08/2012,17:45,3,
23/08/2012,18:00,2,
23/08/2012,18:15,0,
23/08/2012,18:30,1,
23/08/2012,18:45,2,
23/08/2012,19:00,1,
23/08/2012,19:15,4,
23/08/2012,19:30,4,
23/08/2012,19:45,0,
23/08/2012,20:00,0,
23/08/2012,20:15,3,
23/08/2012,20:30,2,
23/08/2012,20:45,2,
23/08/2012,21:00,0,
23/08/2012,21:15,0,
23/08/2012,21:30,1,
23/08/2012,21:45,3,
23/08/2012,22:00,1,
23/08/2012,22:15,0,
23/08/2012,22:30,1,
23/08/2012,22:45,1,
23/08/2012,23:00,1,
23/08/2012,23:15,0,
23/08/2012,23:30,1,
23/08/2012,23:45,0,
24/08/2012,00:00,0,
24/08/2012,00:15,0,
24/08/2012,00:30,0,
