Date,,8nb.vale,8sb.vale,9.14th
24/04/2012,00:00,6,5,0
24/04/2012,00:15,4,4,0
24/04/2012,00:30,3,4,0
24/04/2012,00:45,2,2,0
24/04/2012,01:00,3,2,0
24/04/2012,01:15,3,1,0
24/04/2012,01:30,1,3,0
24/04/2012,01:45,2,2,0
24/04/2012,02:00,2,1,0
24/04/2012,02:15,1,2,0
24/04/2012,02:30,0,1,0
24/04/2012,02:45,0,0,0
24/04/2012,03:00,0,1,0
24/04/2012,03:15,0,2,0
24/04/2012,03:30,1,0,0
24/04/2012,03:45,1,1,0
24/04/2012,04:00,1,1,0
24/04/2012,04:15,1,0,0
24/04/2012,04:30,0,1,2
24/04/2012,04:45,2,1,1
24/04/2012,05:00,2,1,6
24/04/2012,05:15,1,0,5
24/04/2012,05:30,4,1,6
24/04/2012,05:45,6,1,5
24/04/2012,06:00,10,1,14
24/04/2012,06:15,5,4,13
24/04/2012,06:30,14,2,15
24/04/2012,06:45,20,4,31
24/04/2012,07:00,20,5,38
24/04/2012,07:15,15,5,53
24/04/2012,07:30,37,8,42
24/04/2012,07:45,74,8,63
24/04/2012,08:00,61,10,62
24/04/2012,08:15,73,10,48
24/04/2012,08:30,69,8,40
24/04/2012,08:45,80,16,43
24/04/2012,09:00,67,10,21
24/04/2012,09:15,63,9,36
24/04/2012,09:30,58,9,18
24/04/2012,09:45,44,10,13
24/04/2012,10:00,31,8,4
24/04/2012,10:15,32,9,10
24/04/2012,10:30,24,11,9
24/04/2012,10:45,23,12,9
24/04/2012,11:00,19,11,10
24/04/2012,11:15,17,12,10
24/04/2012,11:30,16,14,13
24/04/2012,11:45,10,10,7
24/04/2012,12:00,18,16,12
24/04/2012,12:15,17,12,9
24/04/2012,12:30,13,14,6
24/04/2012,12:45,33,12,11
24/04/2012,13:00,17,13,7
24/04/2012,13:15,27,14,4
24/04/2012,13:30,19,16,5
24/04/2012,13:45,27,16,10
24/04/2012,14:00,12,18,6
24/04/2012,14:15,30,17,9
24/04/2012,14:30,19,13,1
24/04/2012,14:45,14,14,4
24/04/2012,15:00,11,23,3
24/04/2012,15:15,17,21,11
24/04/2012,15:30,23,20,10
24/04/2012,15:45,24,27,8
24/04/2012,16:00,18,22,9
24/04/2012,16:15,26,26,7
